State,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,DAY_7,DAY_8,DAY_9,DAY_10,DAY_11,DAY_12,DAY_13,DAY_14,DAY_15,DAY_16,DAY_17,DAY_18,DAY_19,DAY_20,DAY_21,DAY_22,DAY_23,DAY_24,DAY_25,DAY_26,DAY_27,DAY_28,DAY_29,DAY_30,DAY_31,DAY_32,DAY_33,DAY_34,DAY_35,DAY_36,DAY_37,DAY_38,DAY_39,DAY_40,DAY_41,DAY_42,DAY_43,DAY_44,DAY_45,DAY_46,DAY_47,DAY_48,DAY_49,DAY_50,DAY_51,DAY_52,DAY_53,DAY_54,DAY_55,DAY_56,DAY_57,DAY_58,DAY_59,DAY_60,DAY_61,DAY_62,DAY_63,DAY_64,DAY_65,DAY_66,DAY_67,DAY_68,DAY_69,DAY_70,DAY_71,DAY_72,DAY_73,DAY_74,DAY_75,DAY_76,DAY_77,DAY_78,DAY_79,DAY_80,DAY_81,DAY_82,DAY_83,DAY_84,DAY_85
AK,1.5520818675225088,1.7035044887442168,2.3470506289364765,4.580534291956672,7.533275405779982,11.015995693879269,16.656488334387898,21.729146145315124,31.60947218003158,48.41738313564119,75.14347578127268,104.51946429828406,171.67539681011164,227.02036486664596,292.8513494427836,367.9569695687508,447.4917013654531,545.5378486065091,652.5557861549513,774.943119757397,922.277330206119,1062.2296878702828,1181.5128577376834,1309.7299622571647,1410.1610157824628,1523.1222912138571,1616.739326784178,1693.2834618117515,2266.872350999582,2420.1877549865617,2520.278107614111,2596.2922634674082,2673.9342124988393,2745.5949679920127,2811.8802204318154,2842.9975690928763,2876.7648136253174,2891.869220092183,2916.4375403854046,2924.803640207904,2944.37501400081,2959.9336883313404,2976.5901766657284,2989.0446872612138,3005.3226190425476,3027.24104346439,3035.0393084573075,3039.8848323364023,3044.4275109730534,3049.8408696817296,3055.3299397010164,3059.2290721974755,3060.9704323415253,3062.673936830269,3063.431049936378,3064.604575250846,3065.550966633482,3066.4216467055066,3073.917066455981,3068.125151194251,3069.2229651981083,3070.69933575502,3072.02428369071,3075.2041587363656,3077.6647763312185,3082.056032346648,3085.160196081693,3089.0214729228464,3094.5862542527443,3098.3339641279817,3102.6495088328,3107.1164761588407,3112.226989625073,3117.072513504168,3121.085212966543,3124.795067186475,3128.050653542742,3131.5712294861464,3134.5239705999697,3137.287433437266,3139.3694944790645,3142.2086686269718,3144.7071418771297,3147.9627282333963,3151.445448521496
AL,10.632926138000226,11.670284785610002,16.07905903795156,31.380099090195785,51.60859271858646,75.46784161361136,114.10945123707559,148.86096593200315,216.54861768854116,331.69542757322654,514.7892288763524,716.0368065126493,1176.1053667275858,1555.2599524289597,2006.2516244773108,2520.7815136917607,3065.6541433487964,3737.343867676128,4470.497091874338,5308.942218804942,6318.292182929255,7277.070912982593,8094.250187637195,8972.633622500774,9660.661745527961,10434.531296644855,11075.8782805296,11600.263076896343,15529.777634042182,16580.103264747082,17265.797330817146,17786.551371917256,18318.457018479166,18809.386998460497,19263.490746451676,19476.667948535487,19707.998926952467,19811.47545205154,19979.786892626227,20037.100957906667,20171.179563110232,20277.768164152138,20391.87761538921,20477.200364155116,20588.71641877317,20738.87408301468,20792.298053366587,20825.493530090098,20856.61428951839,20893.699861170444,20931.304112146296,20958.01609732225,20969.94572176976,20981.61600655537,20986.80279979342,20994.842329312396,21001.32582085996,21007.290633083714,21058.639886140398,21018.960917869324,21026.481768064492,21036.59601487869,21045.672903045273,21067.45743464508,21084.314512668738,21114.397913449422,21135.66376572542,21162.116411239473,21200.23934153913,21225.913968067474,21255.478689524352,21286.08076962884,21321.09162398567,21354.287100709185,21381.777104870842,21407.19239173728,21429.495602660892,21453.61419121782,21473.84268484621,21492.774480165088,21507.038161569722,21526.488636212405,21543.60505389797,21565.908264821577,21589.767513716604
AR,6.3733149084306415,6.995101728765338,9.6376957151878,18.809051315124574,30.933894311651162,45.23499117934919,68.39655023681664,89.22640871802898,129.79799874486793,198.81633580201927,308.56170959109323,429.1883527360244,704.9508075544624,932.213890386794,1202.5357105273033,1510.941973413313,1837.5355007941125,2240.1424669608286,2679.5903022323755,3182.149499767894,3787.148075953554,4361.834544647897,4851.647112366554,5378.145102484959,5790.545211071947,6254.39817904163,6638.817880713556,6953.1311183927455,9308.459593820577,9938.018749409457,10349.019837650692,10661.15682145871,10979.978013585325,11274.238626308721,11546.425806910234,11674.202998489014,11812.861459423651,11874.884694752038,11975.769606351341,12010.123328174834,12090.489274703094,12154.377870492484,12222.7744207293,12273.916386701829,12340.758469887809,12430.762112131257,12462.784133378493,12482.681311629203,12501.334916239244,12523.56379506621,12546.103567303342,12562.114577926961,12569.26512636081,12576.260228089575,12579.36916219125,12584.188010048843,12588.074177675935,12591.64945189286,12622.427899499427,12598.644553621625,12603.152508069052,12609.214929567313,12614.655564245242,12627.713087472272,12637.81712330271,12655.848941092416,12668.595570909278,12684.451134827812,12707.301800475112,12722.691024278396,12740.411948657935,12758.754659857808,12779.739965044106,12799.637143294814,12816.114494033685,12831.348271131885,12844.716687769082,12859.173231341862,12871.298074338389,12882.645683809496,12891.1952525891,12902.853755470374,12913.113238005897,12926.481654643094,12940.782751510791
AZ,15.134787009591005,16.611351595892565,22.886751087674202,44.666078735622236,73.45908816850269,107.42007365343859,162.42210449317176,211.88701813427406,308.23285739045093,472.13152646992427,732.7451759521499,1019.1987056946527,1674.0550997193952,2213.739456012616,2855.6759099072196,3588.0519447127945,4363.61749366769,5319.69306329795,6363.255084666579,7556.6884115448165,8993.385754016235,10358.100572905454,11521.264325764509,12771.545389215356,13750.876851079867,14852.394032460832,15765.280087941772,16511.68348631721,22104.910139227526,23599.931782857857,24575.940974403187,25317.176396726572,26074.284888352697,26773.069078819914,27419.435226473423,27722.869248958392,28052.14315170364,28199.43046918722,28439.00307331465,28520.58326670781,28711.429239487286,28863.146250729773,29025.568355222946,29147.015792446247,29305.746485473665,29519.479209340818,29595.522285535346,29642.772352296997,29687.069289886043,29739.856473846325,29793.381940099756,29831.403478197022,29848.38397093949,29864.995322535382,29872.37814546689,29883.821521010726,29893.050049675112,29901.540296046347,29974.630243068274,29918.151647642237,29928.856740892923,29943.253245609365,29956.173185739503,29987.181042051838,30011.175216579235,30053.99558958198,30084.265163601165,30121.917560551854,30176.181309098436,30212.7262826094,30254.808373318996,30298.36702861489,30348.201083402568,30395.45115016422,30434.58011170121,30470.755944065597,30502.502082671082,30536.832209302593,30565.625218735473,30592.572522435476,30612.875285497124,30640.560871490277,30664.92418716425,30696.670325769737,30730.631311254674
CA,83.67509144830167,91.83851500423354,126.53306511694399,246.94356256693908,406.13032190761055,593.8890636940436,897.9765911525058,1171.4512802762233,1704.114667300778,2610.2546820092157,4051.0989396311907,5634.8031094819735,9255.281456537758,12239.012766230857,15788.061157172238,19837.119240914446,24124.95746366766,29410.774216133545,35180.2738142884,41778.36090337033,49721.37202329204,57266.41624486207,63697.1531510474,70609.53204703271,76023.92272050453,82113.8366932297,87160.87330668457,91287.48391420815,122210.53234407806,130475.9986944591,135872.02166493004,139970.06029000785,144155.8557183119,148019.19591615666,151592.73457776586,153270.31811850984,155090.76157148267,155905.06307118686,157229.5785431368,157680.60769460205,158735.73018920622,159574.52195957824,160472.49855073076,161143.94013820615,162021.50817046882,163203.16373018996,163623.58004332046,163884.80959711026,164129.71230378823,164421.55469591278,164717.47879981532,164927.68695638055,165021.5663272738,165113.40484227802,165154.22196005768,165217.48849261613,165268.50988984073,165315.44957528732,165719.53904130595,165407.28809029155,165466.47291107208,165546.0662907424,165617.4962468568,165788.92814153136,165921.58377431528,166158.3230574373,166325.67324033388,166533.84054101017,166833.84635669066,167035.89108969996,167268.548661044,167509.36965594403,167784.88520095672,168046.11475474652,168262.44547897874,168462.44935609907,168637.9629625516,168827.762560227,168986.94931956768,169135.93179946343,169248.1788733575,169401.24306503122,169535.9395537041,169711.45316015664,169899.21190194308
CO,12.218962064793342,13.41105592477318,18.477454829687495,36.06083926439011,59.30666953399695,86.72482831353324,131.13032459778222,171.0654689071068,248.84959327079125,381.1720117285533,591.5765780149948,822.8427868510834,1351.5364137521417,1787.2467195747727,2305.5095252010074,2896.788079751007,3522.9353797054173,4294.8161540423625,5137.328489583113,6100.838351911818,7260.7456776722,8362.538427758565,9301.610365957684,10311.01584189561,11101.67209452724,11990.974114072198,12727.986143004733,13330.589589224543,17846.24113082817,19053.236164057755,19841.210205504427,20439.641323214306,21050.88744991897,21615.045869154426,22136.8849563606,22381.86024458646,22647.697175361962,22766.60853789495,22960.02576667668,23025.888952440568,23179.96708384296,23302.45472795589,23433.58505255367,23531.634772537014,23659.784862484845,23832.34044871693,23893.733282505887,23931.880286025244,23967.64310182464,24010.260457318916,24053.473859743186,24084.17027663767,24097.879356027435,24111.29041195221,24117.25088125211,24126.489608666954,24133.940195291827,24140.79473498671,24199.803381055714,24154.205790911485,24162.848471396337,24174.471386531142,24184.902207805964,24209.93617886554,24229.307704090214,24263.878426029627,24288.316350159217,24318.714743588702,24362.52419294296,24392.02851597746,24426.00319098689,24461.169959856292,24501.403127630612,24539.550131149965,24571.140618439433,24600.346918008938,24625.976935998504,24653.693118243034,24676.93894851264,24698.694661457273,24715.085952031997,24737.43771190662,24757.107260596287,24782.737278585853,24810.15543736539
CT,7.631291218056379,8.375807434452124,11.540001354134038,22.521615545971265,37.03968176568828,54.163554742790396,81.89678380353187,106.83807705278932,155.41776017261162,238.05906019253925,369.4661723863881,513.9023183671625,844.0952603386751,1116.2159374313196,1439.8943625093696,1809.1744058416587,2200.2315485035233,2682.3057986197678,3208.49263455746,3810.2478664593204,4534.662145012379,5222.781258016146,5809.273907481894,6439.69301371499,6933.493394239468,7488.902491670693,7949.199642457362,8325.55258984541,11145.78001755249,11899.602686653181,12391.727905690768,12765.475046321431,13147.22573627835,13499.568035687636,13825.480009414872,13978.478091884199,14144.50520814045,14218.770700725925,14339.568456836134,14380.702977792,14476.93169876115,14553.430739995812,14635.327523799344,14696.563982597894,14776.599475860436,14884.36819818372,14922.7107833281,14946.535302252765,14968.870788744638,14995.487243480786,15022.475956325132,15041.647248897321,15050.209185385873,15058.584992820324,15062.307573902302,15068.07757457937,15072.730800931844,15077.011769176119,15113.865321887708,15085.387576610572,15090.78531917944,15098.044352289298,15104.558869182762,15120.193709727073,15132.292098243503,15153.88306851898,15169.145650955094,15188.130814473185,15215.491785425727,15233.918561781522,15255.137273948802,15277.100502332476,15302.227924635832,15326.052443560497,15345.782123294983,15364.022770596679,15380.029869249187,15397.339871280388,15411.857937500105,15425.445358449328,15435.682456424769,15449.642135482189,15461.926653052718,15477.933751705228,15495.05762468233
DE,2.095035718450557,2.2994294470798797,3.168102793754501,6.18291029103701,10.168587999308802,14.869643757783223,22.483310149225492,29.330500058307802,42.6671908513711,65.35489472922592,101.43038783230136,141.08277118638995,231.73138983349455,306.43729764751197,395.29747116911,496.67676056925404,604.0345665318058,736.3795058192921,880.834773528066,1046.036004692716,1244.9111026490468,1433.8220063346985,1594.8331660624474,1767.9035557793263,1903.4676962927244,2055.945417850199,2182.311840575278,2285.6328703974004,3059.8763144452746,3266.824964682464,3401.929219306446,3504.534871078366,3609.3377554330514,3706.067087506878,3795.5404422143642,3837.54335344769,3883.123154932029,3903.511429362804,3936.6743118329114,3947.9670653396815,3974.3849547650216,3995.3864103816845,4017.86972053091,4034.6811047106717,4056.653430538324,4086.239422757418,4096.7656997818285,4103.306299097967,4109.438110956847,4116.745186755345,4124.154459418158,4129.417597930363,4131.7681258096,4134.06755525668,4135.089523899826,4136.673575296703,4137.951036100637,4139.126300040256,4149.243789607407,4141.425729487336,4142.907584019898,4144.900422874034,4146.688867999541,4150.981136300757,4154.302534390983,4160.229952521233,4164.420023958134,4169.632064038182,4177.14353356531,4182.202278348886,4188.027499614821,4194.057114609386,4200.955402950626,4207.496002266764,4212.912436075441,4217.920082426859,4222.31454759239,4227.066701783022,4231.052379491293,4234.782565038779,4237.592978807432,4241.4253612192315,4244.797857741615,4249.192322907146,4253.893378665621
FL,45.581455870073434,50.02842717447084,68.92805521815983,134.5208819580216,221.23682239377104,323.51716239491145,489.1668434837149,638.140382181028,928.305259792959,1421.9190745810713,2206.8095098072135,3069.521942860311,5041.753716360561,6667.121728117814,8600.442502704587,10806.140269685702,13141.91194732044,16021.325866917761,19164.22283630063,22758.487393079835,27085.390472258514,31195.503700347817,34698.60534538687,38464.07829738538,41413.53201502696,44730.972608107426,47480.312617051124,49728.25661142402,66573.3839124814,71075.94235818378,74015.39039039046,76247.76998519796,78527.95452152773,80632.48369133381,82579.14537983376,83492.99798288743,84484.67258376806,84928.2579713817,85649.77906552018,85895.47423008813,86470.2452711815,86927.17157270834,87416.33841619205,87782.10180597873,88260.15122120145,88903.85031751299,89132.86933968945,89275.17242143016,89408.58156056209,89567.56078469429,89728.7634944787,89843.27300556694,89894.4131755675,89944.44160274198,89966.67645926397,90001.14048687305,90028.93405752552,90054.50414252581,90274.62922209348,90104.53256970028,90136.77311165717,90180.13108187504,90219.04208078851,90312.42847818085,90384.69176187732,90513.65392970484,90604.81684144499,90718.21460970712,90881.64080514373,90991.70334492756,91118.4420271029,91249.62768058262,91399.71296210603,91542.01604384674,91659.86078341327,91768.81158037101,91864.42146341555,91967.81354624279,92054.52948667854,92135.68671298379,92196.83256841927,92280.21328037672,92353.58830689927,92449.19818994381,92551.47852994496
GA,22.669705755005587,24.881384365250035,34.281018458788935,66.90327795989454,110.03101085966127,160.89961889528357,243.2846471268892,317.3758805700782,461.6879098885284,707.184235625662,1097.545510333807,1526.61116072123,2507.4906243646424,3315.859156408988,4277.386432212761,5374.379022894007,6536.063212924903,7968.125113058183,9531.228970848446,11318.81820757852,13470.78149534637,15514.9254508648,17257.17527608486,19129.91413930935,20596.809977553978,22246.722220796335,23614.092521579965,24732.096059058535,33109.9346346645,35349.259227537004,36811.17878890858,37921.441451251296,39055.479658654134,40102.156560952324,41070.31887258683,41524.818826992065,42018.023157076575,42238.63809844846,42597.48295296062,42719.678196176625,43005.53765655072,43232.78763375334,43476.072280880224,43657.982846572835,43895.73829717411,44215.878776007,44329.78022443458,44400.5539399624,44466.90429826974,44545.97180858598,44626.14515820734,44683.095882421134,44708.53018643895,44733.41157080419,44744.469963855416,44761.61047308481,44775.43346439884,44788.150616407744,44897.628707614844,44813.032000773,44829.06667069727,44850.63053714715,44869.98272498679,44916.427975801926,44952.367753218394,45016.506432915485,45061.845844425494,45118.24364898673,45199.52283791321,45254.26188351676,45317.29472390873,45382.53924291094,45457.183396006694,45527.95711153451,45586.56659470599,45640.75272065698,45688.30381077724,45739.72533846542,45782.853071365185,45823.216206002144,45853.62678689301,45895.095760835095,45931.58845790412,45979.13954802438,46030.00815606
