State,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,DAY_7,DAY_8,DAY_9,DAY_10,DAY_11,DAY_12,DAY_13,DAY_14,DAY_15,DAY_16,DAY_17,DAY_18,DAY_19,DAY_20,DAY_21,DAY_22,DAY_23,DAY_24,DAY_25,DAY_26,DAY_27,DAY_28,DAY_29,DAY_30,DAY_31,DAY_32,DAY_33,DAY_34,DAY_35,DAY_36,DAY_37,DAY_38,DAY_39,DAY_40,DAY_41,DAY_42,DAY_43,DAY_44,DAY_45,DAY_46,DAY_47,DAY_48,DAY_49,DAY_50,DAY_51,DAY_52,DAY_53,DAY_54,DAY_55,DAY_56,DAY_57,DAY_58,DAY_59,DAY_60,DAY_61,DAY_62,DAY_63,DAY_64,DAY_65,DAY_66,DAY_67,DAY_68,DAY_69,DAY_70,DAY_71,DAY_72,DAY_73,DAY_74,DAY_75,DAY_76,DAY_77,DAY_78,DAY_79,DAY_80,DAY_81,DAY_82,DAY_83,DAY_84,DAY_85
AK,0.4542678636651245,0.4542678636651245,0.6056904848868326,0.7949687614139679,0.946391382635676,0.946391382635676,1.0599583485519573,1.0599583485519573,1.2870922803845195,1.4385149016062275,1.854927109965925,1.930638420576779,2.2713393183256225,3.8991324964589853,4.694101257872953,6.473317057228024,9.198924239218771,12.41665494018007,17.981436270077843,23.92477415302989,33.76724453244092,43.64757056715738,58.29770917035764,77.60409337612543,100.35534221468708,124.28011636771699,151.34690991109733,179.51151745833502,223.91620113160096,254.69284889491314,306.6686636292645,356.78955125364985,410.8474270297997,475.50488629146906,544.6293128791789,612.1259462887552,691.9635233279009,782.5899621290932,867.1594960814173,937.1924583964573,1035.465739569346,1127.15213671909,1231.4823227408472,1368.7469288783257,1478.2254840216206,1577.634434853672,1685.258062887001,1789.058269734482,1889.5271789150854,1972.6203423104978,2036.369265844837,2100.118189379176,2163.1857111180175,2221.5212759436804,2270.657916530125,2330.6591301892267,2380.6285951923905,2430.938761093303,2485.18591514598,2537.161729880331,2568.9983359921953,2604.431229358075,2639.4855661709007,2670.6029148319617,2698.502532792061,2720.9130807328743,2740.0680423174203,2757.443788102611,2774.7816782324967,2793.406660642767,2808.738201041465,2829.218110561701,2843.7925378542905,2861.8875410902842,2874.6448969282133,2885.5473256561763,2892.7399001642075,2900.121752948766,2906.7464926272155,2914.2797680329954,2922.8351461320217,2928.059226564171,2931.9205034053243,2937.0688725268624,2941.800829440041
AL,3.112075942829334,3.112075942829334,4.149434590439112,5.446132899951334,6.483491547561113,6.483491547561113,7.261510533268447,7.261510533268447,8.817548504683113,9.854907152292892,12.707643433219781,13.22632275702467,15.56037971414667,26.711985175951785,32.15811807590312,44.34708218531801,63.019537842294014,85.0634091040018,123.18633940366114,163.90266632234494,231.3309784169805,299.01863017351855,399.38307932976454,531.6463069000113,687.5094437033804,851.4121100257254,1036.839968285973,1229.7886767413918,1533.9941001529594,1744.8372452796466,2100.910601071703,2444.2763134305396,2814.6133506272304,3257.5654931566055,3731.1197157904694,4193.522332962528,4740.469679914783,5361.328830509236,5940.693635199296,6420.472009718819,7093.717772017565,7721.838433145285,8436.578541348423,9376.944155406687,10126.954457628555,10807.980409784375,11545.283068573024,12256.392421509529,12944.679884198615,13513.930442074481,13950.658432718197,14387.386423361913,14819.446300091387,15219.088719083054,15555.711600232427,15966.764964347802,16309.093318059027,16653.755728727378,17025.38946423358,17381.462820025637,17599.56747568559,17842.30939922628,18082.457926147945,18295.635128231752,18486.768459053856,18640.2975389001,18771.52340782274,18890.56031263596,19009.33787778728,19136.932991443282,19241.965554513772,19382.268311602995,19482.114081435437,19606.078439824803,19693.475905885927,19768.16572851383,19817.440264275298,19868.011498346274,19913.3959391792,19965.00453189779,20023.61529548774,20059.40416883028,20085.856814344326,20121.12700836306,20153.544466100866
AR,1.8653604610040901,1.8653604610040901,2.4871472813387867,3.2643808067571576,3.8861676270918544,3.8861676270918544,4.352507742342877,4.352507742342877,5.285187972844922,5.906974793179619,7.616888549100034,7.927781959267383,9.32680230502045,16.01101062361844,19.2753914303756,26.581386569308282,37.773549335332824,50.98651926744513,73.83718491474524,98.24231761288208,138.65846093463736,179.23005096147634,239.38792582885822,318.66574542153205,412.08921517682023,510.3315327897023,621.4759269245294,737.128275506783,919.4672605699327,1045.8454318029599,1259.2737578828444,1465.0851954136292,1687.063090273116,1952.5660625560313,2236.41174603882,2513.5732212030116,2841.4103222244803,3213.549734194796,3560.8176733517244,3848.3940777565217,4251.93372415374,4628.425643866399,5056.836763077004,5620.486515710407,6070.038386812393,6478.241434362121,6920.1764169150065,7346.411282254441,7758.966837546513,8100.172355205177,8361.944606566085,8623.716857926993,8882.691068596394,9122.234441130335,9324.004264328943,9570.387291886567,9775.576942597017,9982.16561365322,10204.920742038126,10418.34906811801,10549.079747093381,10694.5778630517,10838.521511959181,10966.298703537963,11080.86292518463,11172.887374594166,11251.543407366504,11322.89344499991,11394.088035928233,11470.567814829401,11533.52373038829,11617.620397838557,11677.467379295771,11751.770904325767,11804.156443938966,11848.925095003064,11878.459968968962,11908.772076460278,11935.975249849922,11966.909144161573,12002.040099510483,12023.49174481203,12039.347308730565,12060.488060621945,12079.918898757403
AZ,4.429693758904684,4.429693758904684,5.906258345206246,7.751964078083198,9.22852866438476,9.22852866438476,10.33595210411093,10.33595210411093,12.550798983563272,14.027363569864834,18.087916182194128,18.82619847534491,22.14846879452342,38.02153809726521,45.773502175348405,63.12313606439175,89.70129861781986,121.07829607672804,175.34204462331041,233.29720463564672,329.2739027452482,425.6197420014251,568.4773657261012,756.7393504795502,978.5931795713599,1211.8903842070065,1475.8263040084107,1750.467317060501,2183.4698819934342,2483.5816341592263,2990.4124284072373,3479.155306473054,4006.288863782712,4636.781942133478,5310.833675780141,5969.012340124063,6747.53101825156,7631.254923153045,8455.916244602467,9138.82736576694,10097.117782276653,10991.177639282248,12008.530639244023,13347.03643672639,14414.592632622418,15383.957283529393,16433.42556324323,17445.610587152947,18425.311190164033,19235.576006897016,19857.209697729973,20478.84338856293,21093.83253875753,21662.679045630208,22141.824253885065,22726.912971207057,23214.179284686576,23704.76786848527,24233.7471315278,24740.57792577581,25051.025630045715,25396.541743240283,25738.36644496909,26041.800467454064,26313.857492480125,26532.389051252758,26719.174471419905,26888.61025769801,27057.67690282954,27239.29434694463,27388.796511307664,27588.50187160495,27730.621213036477,27907.07068109951,28031.471247495418,28137.78389770913,28207.920715558455,28279.903239140654,28344.50293979135,28417.962027959853,28501.38792708589,28552.329405313292,28589.981802263985,28640.184998198238,28686.32764152016
CA,24.49027066779561,24.49027066779561,32.653694223727484,42.85797366864232,51.02139722457419,51.02139722457419,57.14396489152309,57.14396489152309,69.3891002254209,77.55252378135278,100.00193856016541,104.08365033813135,122.45135333897805,210.20815656524567,253.06613023388798,348.9863570160875,495.9279810228611,669.4007315864134,969.4065472669096,1289.8209218372356,1820.443452972807,2353.1068399973615,3142.9180690337703,4183.754572415083,5410.308961693847,6700.129883531083,8159.341844153904,9677.738625557233,12071.662583334253,13730.878421077407,16532.97355665102,19235.06675366447,22149.408963132148,25635.190821515058,29361.793674797955,33000.63972485458,37304.80479471967,42190.61379294489,46749.88584893284,50525.46924355133,55823.53113135111,60766.48409446786,66391.08292450492,73791.22637795717,79693.3816088959,85052.66917336518,90854.82246574375,96450.84931333506,101867.28084269585,106346.95951901346,109783.76083606077,113220.5621531081,116620.62806415372,119765.58698907647,122414.61793297637,125649.37451701437,128343.30429047189,131055.60176693025,133980.14825584285,136782.24339141644,138498.60319405113,140408.8443061392,142298.67685933743,143976.2604000814,145480.37119026185,146688.5578765398,147721.23095636515,148657.98380940835,149592.69580656255,150596.79690394216,151423.34353898026,152527.44657492006,153313.1760921785,154288.70520711236,154976.47364169962,155564.2401377267,155952.00275663348,156349.96965498515,156707.11943555716,157113.24975746477,157574.48318837493,157856.12130105458,158064.28860173083,158341.84500263253,158596.9519887554
CO,3.576281579939515,3.576281579939515,4.768375439919353,6.258492764894151,7.450586624873989,7.450586624873989,8.344657019858868,8.344657019858868,10.132797809828626,11.324891669808464,14.603149784753018,15.19919671474294,17.881407899697574,30.696416894480837,36.95490965937499,50.96201251413809,72.41970199377518,97.75169651834673,141.5611458726058,188.35082987681446,265.83693077550396,343.6210551391884,458.9561360922377,610.9481032396671,790.0602057016379,978.4110355784522,1191.4978130498484,1413.2272710060984,1762.808795445186,2005.101872486088,2414.2880899241677,2808.871157577494,3234.448665590296,3743.472743801687,4287.663590882484,4819.039428968496,5447.570916642866,6161.039091840799,6826.823512639539,7378.166922880214,8151.8358380071295,8873.648670224922,9695.00133975103,10775.634423822754,11637.518284588177,12420.127903664941,13267.40861464561,14084.58895566179,14875.543231758413,15529.70473742235,16031.57625247386,16533.447767525373,17029.954860206974,17489.209019764206,17876.043477327665,18348.410669344677,18741.801643138024,19137.874828116324,19564.9424534541,19974.12867089218,20224.76640495294,20503.716368188223,20779.686096773556,21024.661384999414,21244.304678700697,21420.734569977714,21571.534443265165,21708.327213697852,21844.82196066554,21991.449505443063,22112.14900876602,22273.379703328294,22388.118737351353,22530.573953618943,22631.007861322247,22716.838619240792,22773.463077589837,22831.577653263852,22883.731759637973,22943.038429171967,23010.39173226083,23051.518970430134,23081.91736385962,23122.448555098934,23159.701488223305
CT,2.233548649187233,2.233548649187233,2.978064865582977,3.9087101360776577,4.653226352473402,4.653226352473402,5.21161351477021,5.21161351477021,6.328387839363827,7.0729040557595715,9.120323650847867,9.49258175904574,11.167743245936165,19.171292572190417,23.080002708268076,31.82806825091807,45.229360146041465,61.050329744451034,88.41130069699464,117.6335621905276,166.027116256251,214.6067993760733,286.63874331236156,381.564560902819,493.42812241627956,611.0616846068071,744.1439582875464,882.6239745371549,1100.9533549952068,1252.276275977642,1507.8314672554811,1754.2663348824726,2020.0586241357532,2337.967048536736,2677.8387013213933,3009.7068047797966,3402.2529798744526,3847.8459353873054,4263.658242244329,4607.99699232736,5091.188016768198,5541.9925857958215,6054.96425889249,6729.868209055232,7268.153433509355,7756.928329573161,8286.093230376437,8796.459096715718,9290.445606294295,9698.99888004146,10012.440207144069,10325.881534246677,10635.972538375505,10922.797410741965,11164.392922962385,11459.407473709198,11705.097825119794,11952.46333801728,12219.186272541056,12474.741463818895,12631.2759983161,12805.492792952704,12977.848297048318,13130.846379517643,13268.02349238856,13378.21189241513,13472.393193789192,13557.826429620603,13643.073536397917,13734.649031014593,13810.031297924661,13910.727116192185,13982.386802020275,14071.356489879568,14134.081981110909,14187.687148691402,14223.0516689702,14259.346834519492,14291.919418986807,14328.959100752496,14371.024266978855,14396.710076444508,14415.695239962599,14441.008791320055,14464.274923082421
DE,0.613181185887968,0.613181185887968,0.8175749145172906,1.073067075303944,1.2774608039332667,1.2774608039332667,1.4307561004052585,1.4307561004052585,1.7373466933492425,1.9417404219785652,2.5038231757092024,2.606020040023864,3.0659059294398396,5.2631385122050585,6.336205587509002,8.737831898903544,12.41691901423135,16.760285747604456,24.271755274732065,32.29420912343298,45.57980148433895,58.916492277402256,78.69158552228922,104.75178592252786,135.4619436490836,167.75615277251657,204.291531765008,242.308765290062,302.24722621061085,343.7902515545207,413.9483989065357,481.6027230828415,554.5712842035097,641.8474063282305,735.1531434475162,826.2616479840368,934.0282414038472,1056.3578879884967,1170.5117854279736,1265.0438849190352,1397.6954147994657,1521.4558174845204,1662.2830965101239,1847.5660115126047,1995.342677311605,2129.527160156755,2274.8000027800463,2414.911903755447,2550.5271427010025,2662.6882012863434,2748.737961039288,2834.7877207922334,2919.917708766346,2998.6603927207925,3064.986157661008,3145.977172630377,3213.4271030780533,3281.336919415146,3354.560972696601,3424.719120048616,3467.6929014929306,3515.5210339921923,3562.8381821698804,3604.8410934032063,3642.500637903159,3672.7509097402985,3698.606716411908,3722.0608967721228,3745.46397870018,3770.604407321587,3791.299272345306,3818.9435241424217,3838.616420522994,3863.041471094198,3880.2616427312187,3894.9779911925298,3904.6866933024226,3914.650887573102,3923.593113200635,3933.7617011999437,3945.3099468675005,3952.361530505212,3957.57357058526,3964.5229573586566,3970.910261378323
FL,13.340913913192225,13.340913913192225,17.787885217589633,23.346599348086393,27.7935706524838,27.7935706524838,31.128799130781857,31.128799130781857,37.79925608737797,42.24622739177538,54.47539847886825,56.698884131066954,66.70456956596112,114.50951108823325,137.85611043631965,190.10802326298918,270.15350674214255,364.65164696058747,528.0778423971922,702.6214660947904,991.6746008806219,1281.8394784925529,1712.083952193002,2279.0727935036716,2947.230231989382,3649.8516980841728,4444.747818745209,5271.884481363128,6575.958816377667,7479.805733996441,9006.22863423085,10478.176135986392,12065.744891656268,13964.60163863396,15994.644039091378,17976.881498026523,20321.547118270057,22983.059443951905,25466.692917457858,27523.417145741656,30409.501522295574,33102.14264710821,36166.10587583802,40197.28536327427,43412.445616353594,46331.88227769049,49492.567132290955,52540.965961455375,55491.53142192306,57931.80692521113,59803.98184436244,61676.156763513754,63528.32031179527,65241.516006814374,66684.55819509133,68446.67057445881,69914.17110490995,71391.67732079599,72984.80479059636,74511.22769083077,75446.20340758032,76486.79469280932,77516.26854977732,78430.12115283098,79249.4756156662,79907.62736871702,80470.16923872329,80980.4591959029,81489.6374102564,82036.61488069728,82486.87072526752,83088.32359418727,83516.34458223553,84047.75765311101,84422.41498550649,84742.5969194231,84953.82805638199,85170.61790747136,85365.17290203874,85586.40972443251,85837.66360313096,85991.08411313267,86104.48188139481,86255.67890574432,86394.64675900675
GA,6.635035830733343,6.635035830733343,8.84671444097779,11.61131270378335,13.822991314027798,13.822991314027798,15.481750271711132,15.481750271711132,18.799268187077804,21.01094679732225,27.093062975494483,28.198902280616707,33.17517915366671,56.95072421379452,68.56203691757787,94.54926058795013,134.3594755723502,181.3576460400447,262.63683496652817,349.4452204186227,493.2043300845118,637.5163594029619,851.4962649441123,1133.4852877502794,1465.7899989395075,1815.2352193581303,2210.5727709393254,2621.9449924447927,3270.5197448989766,3720.0434224311607,4479.202105397568,5211.267725388479,6000.836989245748,6945.223755820126,7954.855041396717,8940.71078191318,10106.818329164564,11430.507977395866,12665.73048121739,13688.631838455447,15124.011256504093,16463.182655007105,17987.02921746553,19991.91587765212,21590.95951285886,23042.926520484336,24614.87709271558,26130.982780038146,27598.43153793534,28812.090175306977,29743.206870219892,30674.323565132803,31595.487706299617,32447.53689089629,33165.226599920614,34041.604249229975,34771.45819061064,35506.28840886436,36298.62227098444,37057.78095395084,37522.78638175473,38040.31917655194,38552.32277482352,39006.82272922876,39414.3245131663,39741.65294748248,40021.4302916784,40275.22041220395,40528.45761307694,40800.494082137004,41024.426541424255,41323.55607345982,41536.43013969585,41800.72573362006,41987.05965653315,42146.30051647075,42251.35525045737,42359.17458270678,42455.935521904976,42565.966532764636,42690.92637424345,42767.22928629688,42823.627090858114,42898.82416360643,42967.93912017657
